municipio,codigo_ibge,idhm_2010,dist_km_geodesica_salvador,dist_km_rodoviaria_salvador,duracao_h_viagem,origem_endereco,origem_coords,destino_municipio_endereco,destino_municipio_coords
Lençóis,2919306,80.0,315.6,419.4,5.42,Rua da Misericórdia,"-12.974331, -38.512191",Praça Otaviano Alves,"-12.563553, -41.392022"
Licínio de Almeida,2919405,84.0,471.2,668.5,10.35,Rua da Misericórdia,"-12.974331, -38.512191",Praça Dois de Julho,"-14.683649, -42.506067"
Livramento de Nossa Senhora,2919504,116.0,368.0,605.8,8.88,Rua da Misericórdia,"-12.974331, -38.512191","Via De Acesso | Prefeitura Municipal | Sede Oficial | Poder Executivo | Município De Livramento De Nossa Senhora, BA","-13.651112, -41.841728"
Luís Eduardo Magalhães,2919553,4.0,317.6,484.3,7.1,Rua da Misericórdia,"-12.974331, -38.512191",Praça Luís Eduardo Magalhães,"-14.02224, -41.244854"
Macajuba,2919603,408.0,221.0,294.7,4.41,Rua da Misericórdia,"-12.974331, -38.512191",Rua Coronel José Ribeiro Sampaio,"-12.137889, -40.358966"
Macarani,2919702,134.0,354.1,586.8,9.3,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Camilo de Jesus Lima,"-15.564834, -40.423616"
Macaúbas,2919801,124.0,452.5,625.7,8.75,Rua da Misericórdia,"-12.974331, -38.512191",Macaúbas,"-13.017422, -42.687938"
Macururé,2919900,138.0,427.4,477.9,6.81,Rua da Misericórdia,"-12.974331, -38.512191",Praça Municipal,"-9.167927, -39.059183"
Madre de Deus,2919926,7.0,27.8,64.6,1.02,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Deijair Maria Pinheiro,"-12.745728, -38.615528"
Maetinga,2919959,399.0,372.4,582.2,8.66,Rua da Misericórdia,"-12.974331, -38.512191",Maetinga,"-14.662815, -41.49173"
Maiquinique,2920007,272.0,349.4,594.2,9.37,Rua da Misericórdia,"-12.974331, -38.512191",Rua Francisco Martins,"-15.618239, -40.264824"
Mairi,2920106,290.0,226.5,296.8,4.44,Rua da Misericórdia,"-12.974331, -38.512191",Rua Manoel Alves Belas,"-11.71194, -40.148355"
Malhada,2920205,326.0,588.1,785.4,11.94,Rua da Misericórdia,"-12.974331, -38.512191",Rua Manoel Pedro,"-14.337847, -43.771791"
Malhada de Pedras,2920304,258.0,396.2,575.9,8.58,Rua da Misericórdia,"-12.974331, -38.512191",Rua Padre Ladislau,"-14.386754, -41.878837"
Manoel Vitorino,2920403,312.0,228.0,403.6,5.89,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Gabriel Dantas Novaes,"-14.144946, -40.243744"
Mansidão,2920452,155.0,651.2,821.3,12.77,Rua da Misericórdia,"-12.974331, -38.512191",Rua Tranquedo Neves,"-10.719432, -44.035224"
Maracás,2920502,128.0,214.3,351.7,5.02,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Doutor João Pessoa,"-13.440884, -40.433194"
Maragogipe,2920601,84.0,29.1,191.5,2.94,Rua da Misericórdia,"-12.974331, -38.512191",Maragogipe,"-12.872864, -38.760378"
Maraú,2920700,181.0,136.8,363.7,5.79,Rua da Misericórdia,"-12.974331, -38.512191",Rua Ubaitaba,"-14.103171, -39.01404"
Marcionílio Souza,2920809,329.0,218.8,330.6,4.84,Rua da Misericórdia,"-12.974331, -38.512191",Rua Deraldo Flores,"-13.002582, -40.531593"
Mascote,2920908,246.0,300.6,537.5,8.6,Rua da Misericórdia,"-12.974331, -38.512191",Praça Almir Silva Araújo,"-15.566819, -39.303896"
Mata de São João,2921005,28.0,54.4,62.7,1.0,Rua da Misericórdia,"-12.974331, -38.512191",Rua JJ. Seabra,"-12.530508, -38.300656"
Matina,2921054,290.0,480.1,707.0,10.7,Rua da Misericórdia,"-12.974331, -38.512191",Praça Sátiro Virgílio Fernandes,"-13.909725, -42.846207"
Medeiros Neto,2921104,74.0,522.4,890.6,14.73,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Oscar Cardoso,"-17.373752, -40.220364"
Miguel Calmon,2921203,220.0,284.3,375.7,5.48,Rua da Misericórdia,"-12.974331, -38.512191",Rua Paulo Gonçalves,"-11.430514, -40.59751"
